Text,NLL,Sentiment_Score,Potential_Energy,Kinetic_Energy,Lambda,Acceptance_rate,Accepted
 all  is not as it should be.  And the  people who,0,0,43.193138122558594,11.088002415707237,0.0,"tensor([0.0005], device='cuda:0', grad_fn=<ExpBackward0>)",0
 all  is not as it should be.  And the  people who,0,0,43.2647705078125,6.520031095805921,0.11787181347608566,"tensor([0.0472], device='cuda:0', grad_fn=<ExpBackward0>)",0
 all  is not as it should be.  And the  people who,0,0,44.431419372558594,3.9095083136307567,2.037003993988037,"tensor([0.5845], device='cuda:0', grad_fn=<ExpBackward0>)",0
 all  is not as it should be.  And the  people who,0,0,46.706687927246094,4.090223774157073,5.779836654663086,"tensor([0.5212], device='cuda:0', grad_fn=<ExpBackward0>)",0
 all  is not as it should be.  And the  people who,0,0,50.1149787902832,3.898469302528783,11.386507034301758,"tensor([0.6015], device='cuda:0', grad_fn=<ExpBackward0>)",0
 all  is not as it should be.  And the  people who,0,0,54.64005661010742,4.939751554790296,18.83026123046875,"tensor([0.2340], device='cuda:0', grad_fn=<ExpBackward0>)",0
 all  is not as it should be.  And the  people who,0,0,60.28995895385742,4.628369783100329,28.124483108520508,"tensor([0.3032], device='cuda:0', grad_fn=<ExpBackward0>)",0
 all  is not as it should be.  And the  people who,0,0,67.05943298339844,5.836839535361842,39.26025390625,"tensor([0.0884], device='cuda:0', grad_fn=<ExpBackward0>)",0
 all  is not as it should be.  And the  people who,0,0,74.91389465332031,9.735192228618422,52.18092346191406,"tensor([0.0019], device='cuda:0', grad_fn=<ExpBackward0>)",0
 all  is not as it should be.  And the  people who,0,0,83.898681640625,8.855909488075657,66.96097564697266,"tensor([0.0046], device='cuda:0', grad_fn=<ExpBackward0>)",0
" all  is not as it should be.  And the  people,",0,0,70.97750091552734,23.73252981085526,83.47496032714844,1,1
 all  is not as it should be.  And the  people the,0,0,89.97297668457031,17.950637335526316,100.0,"tensor([3.6978e-13], device='cuda:0', grad_fn=<ExpBackward0>)",0
 all  ev not as it should be.  And the  people who,0,0,123.67434692382812,18.600370065789473,100.0,"tensor([5.8936e-22], device='cuda:0', grad_fn=<ExpBackward0>)",0
" ‎all  ev men as it shall be,  Therefore the  men P",0,0,135.50523376464844,20.975875051398027,100.0,"tensor([1.8589e-13], device='cuda:0', grad_fn=<ExpBackward0>)",0
" all  ev men as it will be,  Therefore the  people O",0,0,93.36309814453125,13.551277240953947,100.0,1,1
" all  ev men as the shall be,  Therefore the  men that",0,0,101.85662841796875,12.938784950657894,100.0,"tensor([1.5237e-08], device='cuda:0', grad_fn=<ExpBackward0>)",0
" all   radiant servant as the shall be,  Therefore the  men that",0,0,99.05392456054688,13.311423211348684,100.0,"tensor([0.0008], device='cuda:0', grad_fn=<ExpBackward0>)",0
" all  ev men as the will be,  Therefore the  men that",0,0,88.58293914794922,11.586649362664474,100.0,1,1
" all  ev not as a will be,  Therefore the  men that",0,0,97.3492431640625,11.385632966694079,100.0,"tensor([5.6599e-08], device='cuda:0', grad_fn=<ExpBackward0>)",0
" all  ev men as a will be,  Therefore the  men that",0,0,101.25337219238281,11.48248869243421,100.0,"tensor([6.4300e-06], device='cuda:0', grad_fn=<ExpBackward0>)",0
" all  wn men loved a will be,  Therefore the  men that",0,0,86.43569946289062,10.964278371710526,100.0,1,1
" all  ev not loved a will be,  Therefore the  men that",0,0,100.2183609008789,15.189891293174341,100.0,"tensor([8.3330e-12], device='cuda:0', grad_fn=<ExpBackward0>)",0
" all  ev not gifts a Lord be,  Therefore the  men that",0,0,94.1122055053711,14.65228207236842,100.0,"tensor([0.0063], device='cuda:0', grad_fn=<ExpBackward0>)",0
