Text,NLL,Sentiment_Score,Potential_Energy,Kinetic_Energy,Lambda,Acceptance_rate,Accepted
 she was a young woman.  Her mother had died when she was a little girl,0,0,41.324989318847656,25.142393092105262,10.0,"tensor([1.0747e-07], device='cuda:0', grad_fn=<ExpBackward0>)",0
" she was a young woman,  Her parents had died when she was a little girl",0,0,49.015777587890625,16.260629111842103,10.144754409790039,"tensor([6.7537e-07], device='cuda:0', grad_fn=<ExpBackward0>)",0
" she was a young woman,  Her parents had died, she was a little girl",0,0,53.548179626464844,10.961410361842105,10.144754409790039,"tensor([0.0027], device='cuda:0', grad_fn=<ExpBackward0>)",0
" she was a young woman,  Her father had died, she was a little girl",0,0,52.52882766723633,9.994035259046052,10.144754409790039,1,1
" she was a young woman,  Her mother had died, she was a little girl",0,0,53.258705139160156,12.152496659128289,10.144754409790039,"tensor([0.0384], device='cuda:0', grad_fn=<ExpBackward0>)",0
" she was a young woman,  Her mother had died, she was a little girl",0,0,53.258697509765625,11.670523231907895,10.144754409790039,"tensor([0.1477], device='cuda:0', grad_fn=<ExpBackward0>)",0
" she was a young woman,  Her mother had died, she was a little girl",0,0,53.25867462158203,10.2843017578125,10.144754409790039,"tensor([0.4318], device='cuda:0', grad_fn=<ExpBackward0>)",0
" she was a young woman,  Her mother had died, she was a little girl",0,0,53.25868606567383,10.53081118935033,10.144754409790039,"tensor([0.4277], device='cuda:0', grad_fn=<ExpBackward0>)",0
" she was a young woman,  Her mother had died, she was a little girl",0,0,53.25868225097656,10.616946571751644,10.144754409790039,"tensor([0.3440], device='cuda:0', grad_fn=<ExpBackward0>)",1
" she was a young woman,  Her mother had died, she was a little girl",0,0,53.25868225097656,10.237070826480263,10.144754409790039,"tensor([0.6021], device='cuda:0', grad_fn=<ExpBackward0>)",1
" she was a young woman,  Her mother had died, she was a little girl",0,0,53.2586669921875,11.357419305098684,10.144754409790039,"tensor([0.2065], device='cuda:0', grad_fn=<ExpBackward0>)",0
" she was a young woman,  Her mother had died, she was a little girl",0,0,60.03010940551758,14.128310032894737,22.00849151611328,"tensor([0.0103], device='cuda:0', grad_fn=<ExpBackward0>)",0
" she was a young woman,  Her mother had died,Rex was a little girl",0,0,77.09388732910156,12.167786287006578,22.00849151611328,"tensor([2.8173e-09], device='cuda:0', grad_fn=<ExpBackward0>)",0
" she was a young woman,  Her mother had died, she was a little girl",0,0,60.03010559082031,12.20355160361842,22.00849151611328,1,1
" she was a young woman,  Her mother had died, she was a little girl",0,0,60.03012466430664,17.242617958470394,22.00849151611328,"tensor([0.0004], device='cuda:0', grad_fn=<ExpBackward0>)",0
" she was a young woman,  Her mother had died, she was a little girl",0,0,60.03013610839844,13.815704666940789,22.00849151611328,"tensor([0.0130], device='cuda:0', grad_fn=<ExpBackward0>)",0
" she was a young woman,  Her mother had died, she was a little girl",0,0,60.030113220214844,11.517953330592105,22.00849151611328,"tensor([0.1352], device='cuda:0', grad_fn=<ExpBackward0>)",0
" she was a young woman,  Her mother had died, she was a young mistress",0,0,56.40504837036133,22.305329975328945,22.00849151611328,"tensor([9.5123e-05], device='cuda:0', grad_fn=<ExpBackward0>)",0
" she was a young woman,  Her mother had died, she was a young mistress",0,0,56.40508270263672,12.323018606085526,22.00849151611328,"tensor([0.0649], device='cuda:0', grad_fn=<ExpBackward0>)",0
" she was a young woman,  Her mother had died, she was a young sisters",0,0,56.44063949584961,12.591010485197367,22.00849151611328,"tensor([0.0472], device='cuda:0', grad_fn=<ExpBackward0>)",0
" she was a young woman,  Her mother had died, she was a young sisters",0,0,56.440677642822266,12.28730982730263,22.00849151611328,"tensor([0.0637], device='cuda:0', grad_fn=<ExpBackward0>)",0
" she was a young woman,  Her father had died, she was a young goddess",0,0,54.52847671508789,14.252091899671052,41.9546012878418,"tensor([0.1856], device='cuda:0', grad_fn=<ExpBackward0>)",0
" she was a young woman,  Her father had died, she was a young sanctuary",0,0,57.95041275024414,11.774934467516447,41.9546012878418,"tensor([0.0033], device='cuda:0', grad_fn=<ExpBackward0>)",0
" she was a young woman,  Her father had died, she was a young goddess",0,0,54.52846908569336,12.930715460526315,41.9546012878418,"tensor([0.8900], device='cuda:0', grad_fn=<ExpBackward0>)",1
" she was a young woman,  Her father had died, she was a young goddess",0,0,54.52850341796875,10.629651521381579,41.9546012878418,"tensor([0.3405], device='cuda:0', grad_fn=<ExpBackward0>)",0
" she was a young woman,  Her father had died, she was a young goddess",0,0,54.52849197387695,10.41710269325658,41.9546012878418,"tensor([0.3576], device='cuda:0', grad_fn=<ExpBackward0>)",0
" she was a young woman,  Her father had died, she was a young goddess",0,0,54.52846908569336,10.970052939967106,41.9546012878418,"tensor([0.2612], device='cuda:0', grad_fn=<ExpBackward0>)",0
" she was a young woman,  Her father had died, she was a young goddess",0,0,54.52847671508789,10.634682103207236,41.9546012878418,"tensor([0.2777], device='cuda:0', grad_fn=<ExpBackward0>)",0
" she was a young woman,  Her father had died, she was a young goddess",0,0,54.52846145629883,10.6673828125,41.9546012878418,"tensor([0.3653], device='cuda:0', grad_fn=<ExpBackward0>)",0
