Text,NLL,Sentiment_Score,Potential_Energy,Kinetic_Energy,Lambda,Acceptance_rate,Accepted
" they were just trying to get through the day. They made a lot of noise, so",0,0,45.20658493041992,92.36836965460526,0.0,"tensor([1.6296e-25], device='cuda:0', grad_fn=<ExpBackward0>)",0
" they were just trying to get through the day. They made a lot of noise, so",0,0,45.206756591796875,45.15997635690789,0.005633437540382147,"tensor([1.5108e-05], device='cuda:0', grad_fn=<ExpBackward0>)",0
" they were just trying to get through the day. They made a lot of noise, so",0,0,45.20930099487305,44.926706414473685,0.09576819092035294,"tensor([8.1075e-06], device='cuda:0', grad_fn=<ExpBackward0>)",0
" they were just trying to get through the day. They made a lot of noise, so",0,0,45.21419906616211,46.21746826171875,0.2704041302204132,"tensor([5.8758e-06], device='cuda:0', grad_fn=<ExpBackward0>)",0
" they were just trying to get through the day. They made a lot of noise, so",0,0,45.221473693847656,41.842946905838815,0.5295414924621582,"tensor([0.0011], device='cuda:0', grad_fn=<ExpBackward0>)",0
" they were just trying to get through the day. They made a lot of noise, so",0,0,45.23116683959961,39.460176166735195,0.8731805086135864,"tensor([0.0073], device='cuda:0', grad_fn=<ExpBackward0>)",0
" they were just trying to get through the day. They made a lot of noise, so",0,0,45.243221282958984,43.1531339946546,1.301321029663086,"tensor([0.0002], device='cuda:0', grad_fn=<ExpBackward0>)",0
" they were just trying to get through the day. They made a lot of noise, so",0,0,45.2576904296875,57.96400853207236,1.8139630556106567,"tensor([8.2779e-11], device='cuda:0', grad_fn=<ExpBackward0>)",0
" they were just trying to get through the day. They made a lot of noise, so",0,0,45.27447509765625,39.10689504523026,2.411106586456299,"tensor([0.0075], device='cuda:0', grad_fn=<ExpBackward0>)",0
" they were just trying to get through the day. They made a lot of noise, so",0,0,45.293704986572266,38.870027240953945,3.0927517414093018,"tensor([0.0107], device='cuda:0', grad_fn=<ExpBackward0>)",0
" they were just trying to get through the day. They made a lot of noise, so",0,0,45.315277099609375,39.5420500102796,3.858898401260376,"tensor([0.0094], device='cuda:0', grad_fn=<ExpBackward0>)",0
" they were just trying to get through the day. They made a lot of noise, so",0,0,45.339210510253906,42.14296361019736,4.709546089172363,"tensor([0.0005], device='cuda:0', grad_fn=<ExpBackward0>)",0
" they were just going to get through the day. They made a lot of noise, so",0,0,50.117061614990234,39.879445929276315,5.644694805145264,"tensor([3.6444e-05], device='cuda:0', grad_fn=<ExpBackward0>)",0
" they were just going to get through the day. They made a lot of noise, so",0,0,50.11968994140625,44.054963764391445,6.610901832580566,"tensor([7.1787e-05], device='cuda:0', grad_fn=<ExpBackward0>)",0
" they were just going to get through the day. They made a lot of noise, so",0,0,50.122352600097656,42.801179584703945,7.585262775421143,"tensor([0.0002], device='cuda:0', grad_fn=<ExpBackward0>)",0
" they were just going to get through the day. They made a lot of heard, so",0,0,60.26877975463867,44.52366879111842,8.567777633666992,"tensor([2.2949e-09], device='cuda:0', grad_fn=<ExpBackward0>)",0
" they were just going to get through the day. They made a lot of noise, so",0,0,50.12763977050781,45.52081620065789,9.530253410339355,"tensor([0.2971], device='cuda:0', grad_fn=<ExpBackward0>)",0
" they were just going to get through the day. They made a lot of noise, so",0,0,50.13020324707031,54.38984118009868,10.47269058227539,"tensor([2.3876e-09], device='cuda:0', grad_fn=<ExpBackward0>)",0
" they were just going to get through the day. They made a lot of noise, so",0,0,50.132755279541016,51.66996363589638,11.4232816696167,"tensor([7.8150e-08], device='cuda:0', grad_fn=<ExpBackward0>)",0
" they were just going to get through the day. They made a lot of noise, so",0,0,50.1353759765625,51.80039576480263,12.382026672363281,"tensor([6.5040e-08], device='cuda:0', grad_fn=<ExpBackward0>)",0
" they were just going to get through the day. They made a lot of noise, so",0,0,50.13792037963867,51.68064478824013,13.31369686126709,"tensor([5.6789e-08], device='cuda:0', grad_fn=<ExpBackward0>)",0
" they were just going to get through the day. They made a lot of room, so",0,0,52.936492919921875,63.29158100328947,14.253520965576172,"tensor([1.9092e-14], device='cuda:0', grad_fn=<ExpBackward0>)",0
" they were just going to get through the day. They made a lot of room, so",0,0,52.781089782714844,43.19814260382401,15.109347343444824,"tensor([8.2921e-05], device='cuda:0', grad_fn=<ExpBackward0>)",0
" they were just going to get through the day. They made a lot of room, so",0,0,52.724613189697266,43.20561137952303,15.420417785644531,"tensor([0.0001], device='cuda:0', grad_fn=<ExpBackward0>)",0
" they were just going to get through the day. They made a lot of room, so",0,0,52.76701736450195,62.080232319078945,15.186732292175293,"tensor([1.2963e-12], device='cuda:0', grad_fn=<ExpBackward0>)",0
