Decoded Text,Fluency Loss,Sentiment Loss,Potential Energy,Kinetic Energy,Lambda,Accepted
" about a band of thieves who have stolen a group of people's belongings and had them locked, but they don't know about them. They're just looking for money. The book is",94.71711730957031,0.17268913984298706,96.44400787353516,4.801108530405406,10.0,1
" about a band of thieves who have stolen a group of people's belongings and had them locked, but they don't know about them. They're just looking for money, The book is",94.71711730957031,0.17268913984298706,105.51534271240234,14.046981894003379,10.0,0
 about the band of thieves who have stolen a group of people's belongings and had them locked. but they don't know about them. They're just looking for money. The book is,94.71711730957031,0.17268913984298706,109.4264907836914,13.607080078125001,10.008374214172363,0
" about the band of thieves who have stolen a group of people's belongings and had them locked, but they don't know about them. They're just looking for money. The book is",94.71711730957031,0.17268913984298706,99.90367889404297,17.667588682432434,10.008374214172363,0
" about a band of thieves who have stolen a group of people's belongings and had them locked, but they don't know about them. They're just looking for money. The book is",94.71711730957031,0.17268913984298706,96.44548034667969,15.63243507179054,10.008374214172363,0
" about a band of thieves who have kidnapped a group of people's belongings and had them locked, but they don't know about them. They're just looking for money. The book is",94.71711730957031,0.17268913984298706,99.66577911376953,13.246681007179054,10.008374214172363,0
" about a band of strangers who have stolen a group of people's belongings and had them locked, but they don't know about them. They're just looking for money. The book is",94.71711730957031,0.17268913984298706,102.86202239990234,14.198846600506757,10.008374214172363,0
" about a band of thieves who have stolen a group of people's belongings and had them locked, but they don't know about them. They're just looking for money. The book is",94.71711730957031,0.17268913984298706,96.44549560546875,14.49750316722973,10.008374214172363,0
" about a band of thieves who have kidn a group of people's belongings and had them locked, but they don't know about them. They're just looking for money. The book is",94.71711730957031,0.17268913984298706,125.95759582519531,11.607794024493243,10.008374214172363,0
" about aenegger of thieves who have kidnapped a group of people's belongings and had them locked, but they don't know about them. They're just looking for money. The book is",94.71711730957031,0.17268913984298706,135.1023406982422,13.624613334037162,10.008374214172363,0
" about a band of thieves who have stolen a group of people's belongings, had them locked, but they don't know about them. They're just looking for money. The book is",94.71711730957031,0.17268913984298706,100.5239486694336,18.822204919763514,10.008374214172363,0
