Decoded Text,Fluency Loss,Sentiment Loss,Potential Energy,Kinetic Energy,Lambda,Accepted
" set to premiere on HBO on March 17, 2017.

The film stars Michelle Rodriguez, Jennifer Lawrence,",45.002174377441406,-0.12962794303894043,43.705894470214844,4.716674804687501,10.0,1
" set to premiere on HBO on March 17, 2017.

The film stars Michelle Rodriguez, Jennifer Lawrence,",45.002174377441406,-0.12962794303894043,43.7059326171875,6.32253085049716,10.0,0
" set to premiere on HBO on March 17, 2017.

 the film stars Gina Rodriguez, Jennifer Lawrence,",45.002174377441406,-0.12962794303894043,60.208221435546875,12.02332430752841,9.974074363708496,0
" set to premiere in HBO on March 17, 2017.

The film stars Gina Rodriguez, Jennifer Lawrence,",45.002174377441406,-0.12962794303894043,49.16875457763672,7.044628906250001,9.974074363708496,0
" scheduled to premiere on HBO on March 17, 2017.

The film stars Michelle Rodriguez, Jennifer Lawrence,",45.002174377441406,-0.12962794303894043,45.17122268676758,9.567309570312501,9.974074363708496,0
" set to premiere on HBO on March 17, 2017.

The film stars Gina Rodriguez, Jennifer Lawrence,",45.002174377441406,-0.12962794303894043,43.946372985839844,11.761987304687501,9.974074363708496,0
" set to premiere on HBO on March 17, 2017.

The film stars Michelle Rodriguez, Jennifer Lawrence,",45.002174377441406,-0.12962794303894043,43.709228515625,7.724482865767047,9.974074363708496,0
" set to premiere on HBO on March 17, 2017.

The film stars Ric Rodriguez, Jennifer Lawrence,",45.002174377441406,-0.12962794303894043,54.802406311035156,7.552180619673297,9.974074363708496,0
" set to premiere on HBO on March 17, 2017.

The film stars Michelle Rodriguez, Jennifer Lawrence,",45.002174377441406,-0.12962794303894043,43.70930099487305,9.689701704545456,9.974074363708496,0
" set to premiere on HBO on March 17, 2017.

The film stars Gina Rodriguez, Jennifer Lawrence,",45.002174377441406,-0.12962794303894043,43.946449279785156,6.583121559836648,9.974074363708496,1
" set to premiere on HBO on March 17, 2017.

The film stars Michelle Rodriguez, Jennifer Lawrence,",45.04125213623047,-0.10976481437683105,43.70924377441406,6.911990633877842,9.974074363708496,0
